Location;Addr.;ID;Baud;Man;Version;Medium;Data sets;COM port
"";0;66336764;2400;LSE;41;Heat Outlet;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34;COM4
"";0;66336765;2400;LSE;41;Heat Outlet;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34;COM4
"";0;66336766;2400;LSE;41;Heat Outlet;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34;COM4
"";0;66343966;2400;LSE;41;Heat Outlet;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34;COM4
